,DE-BW,DE-BW-PR,BW,O-BW
1965-07-31,,,-1.914807,-2.10996
1965-08-31,,,-1.924326,-2.166241
1965-09-30,,,-1.817766,-2.048318
1965-10-31,,,-1.656621,-1.905876
1965-11-30,,,-1.674017,-1.797688
1965-12-31,,,-1.688123,-1.749483
1966-01-31,,,-1.727446,-1.785334
1966-02-28,,,-1.831732,-1.910692
1966-03-31,,,-1.589465,-1.672483
1966-04-30,,,-1.619546,-1.662998
1966-05-31,,,-1.551578,-1.557784
1966-06-30,,,-1.48572,-1.412018
1966-07-31,,,-1.387746,-1.312954
1966-08-31,,,-1.220899,-1.121315
1966-09-30,,,-1.325127,-1.364666
1966-10-31,,,-1.332615,-1.30818
1966-11-30,,,-1.288939,-1.28263
1966-12-31,,,-1.175593,-1.22971
1967-01-31,,,-1.083417,-1.06354
1967-02-28,,,-1.04532,-0.9160818
1967-03-31,,,-1.155055,-0.9504972
1967-04-30,,,-1.071803,-0.9963773
1967-05-31,,,-1.125598,-0.9670866
1967-06-30,,,-1.031826,-0.9286966
1967-07-31,,,-1.01108,-0.903341
1967-08-31,,,-0.9962047,-0.9460598
1967-09-30,,,-0.8986513,-0.735859
1967-10-31,,,-1.019691,-0.9369103
1967-11-30,,,-0.6726958,-0.5870185
1967-12-31,,,-0.3517543,-0.2804057
1968-01-31,,,-0.1857138,-0.1530897
1968-02-29,,,0.0335669,0.0597038
1968-03-31,,,-0.0268847,-0.1007063
1968-04-30,,,-0.1317903,-0.2032162
1968-05-31,,,0.1344506,-0.0898671
1968-06-30,,,0.3159697,0.061819
1968-07-31,,,0.5455076,0.3423473
1968-08-31,,,0.6898732,0.5877432
1968-09-30,,,0.8771972,0.7190834
1968-10-31,,,1.301206,1.225926
1968-11-30,,,1.394241,1.307409
1968-12-31,,,2.145583,2.093952
1969-01-31,,,2.02692,1.998312
1969-02-28,,,1.953476,1.846475
1969-03-31,,,2.014873,1.981639
1969-04-30,,,2.398717,2.40345
1969-05-31,,,2.785884,2.841826
1969-06-30,,,2.853589,2.919674
1969-07-31,,,2.839132,2.855214
1969-08-31,,,2.724491,2.701179
1969-09-30,,,3.07365,3.06335
1969-10-31,,,2.922301,2.880461
1969-11-30,,,2.977122,2.997555
1969-12-31,,,3.099287,3.196053
1970-01-31,,,2.881581,2.912409
1970-02-28,,,2.502489,2.141172
1970-03-31,,,2.467249,2.231514
1970-04-30,,,2.330086,2.050926
1970-05-31,,,2.042625,1.728183
1970-06-30,,,1.602776,1.282661
1970-07-31,,,1.556565,1.281452
1970-08-31,,,1.346561,0.9917703
1970-09-30,,,1.254047,0.9728841
1970-10-31,,,0.9577795,0.7257711
1970-11-30,,,0.7192003,0.4716552
1970-12-31,,,0.609697,0.4362726
1971-01-31,,,0.4381207,0.4643492
1971-02-28,,,0.1844813,0.1788941
1971-03-31,,,-0.0024777,-0.1187319
1971-04-30,,,-0.4131328,-0.5334037
1971-05-31,,,-0.6326457,-0.7486184
1971-06-30,,,-0.7467718,-0.8805277
1971-07-31,,,-0.6997347,-0.8853828
1971-08-31,,,-0.7998408,-0.9515649
1971-09-30,,,-0.647851,-0.8841634
1971-10-31,,,-0.7268565,-1.11149
1971-11-30,,,-0.8521877,-1.244303
1971-12-31,,,-0.8496044,-1.239572
1972-01-31,,,-0.6596342,-1.164185
1972-02-29,,,-0.7412874,-1.200597
1972-03-31,,,-0.6032464,-1.158882
1972-04-30,,,-0.5766462,-1.116901
1972-05-31,,,-0.5885652,-1.053861
1972-06-30,,,-0.4788558,-0.9668985
1972-07-31,,,-0.549038,-1.024117
1972-08-31,,,-0.4694774,-0.994898
1972-09-30,,,-0.4052289,-0.8841574
1972-10-31,,,-0.459454,-0.9267986
1972-11-30,,,-0.4086813,-0.9958762
1972-12-31,,,-0.2837058,-0.8514224
1973-01-31,,,-0.3246213,-0.6725332
1973-02-28,,,-0.1227571,-0.4516805
1973-03-31,,,-0.1418334,-0.3764301
1973-04-30,,,-0.2635592,-0.4408277
1973-05-31,,,-0.4975839,-0.7822821
1973-06-30,,,-0.6989624,-0.9181071
1973-07-31,,,-0.8216007,-1.024269
1973-08-31,,,-0.9790875,-1.054226
1973-09-30,,,-1.065828,-1.160093
1973-10-31,,,-1.217962,-1.241443
1973-11-30,,,-1.457206,-1.413601
1973-12-31,,,-1.218994,-1.197173
1974-01-31,,,-1.135774,-1.369036
1974-02-28,,,-1.365191,-1.527672
1974-03-31,,,-1.396411,-1.551464
1974-04-30,,,-1.646813,-1.859636
1974-05-31,,,-1.749889,-1.913766
1974-06-30,,,-1.782701,-1.914407
1974-07-31,,,-1.801951,-1.901537
1974-08-31,,,-2.02677,-2.158196
1974-09-30,,,-1.778891,-1.832144
1974-10-31,,,-2.086004,-2.134091
1974-11-30,,,-2.315684,-2.227903
1974-12-31,,,-1.997765,-1.892286
1975-01-31,,,-1.813446,-1.745906
1975-02-28,,,-1.985044,-1.997838
1975-03-31,,,-2.007502,-1.999356
1975-04-30,,,-2.01704,-1.948063
1975-05-31,,,-2.017063,-1.568301
1975-06-30,,,-2.026871,-1.656703
1975-07-31,,,-1.873729,-1.522452
1975-08-31,,,-1.881455,-1.634498
1975-09-30,,,-1.917219,-1.701663
1975-10-31,,,-1.816286,-1.687786
1975-11-30,,,-1.875713,-1.916143
1975-12-31,,,-1.913792,-2.135266
1976-01-31,,,-1.759957,-2.057971
1976-02-29,,,-1.83991,-2.258131
1976-03-31,,,-1.805771,-2.276957
1976-04-30,,,-1.777334,-2.170923
1976-05-31,,,-1.810363,-2.26139
1976-06-30,,,-1.760859,-2.15343
1976-07-31,,,-1.679178,-2.152854
1976-08-31,,,-1.766702,-2.209857
1976-09-30,,,-1.798486,-2.249386
1976-10-31,,,-1.804085,-2.185751
1976-11-30,,,-1.883289,-2.422017
1976-12-31,,,-1.772721,-2.286561
1977-01-31,,,-1.646713,-2.025727
1977-02-28,,,-1.524967,-1.892686
1977-03-31,,,-1.431079,-1.803675
1977-04-30,,,-1.428358,-1.785025
1977-05-31,,,-1.611428,-1.944725
1977-06-30,,,-1.591499,-1.958674
1977-07-31,,,-1.564885,-1.88296
1977-08-31,,,-1.590775,-1.86875
1977-09-30,,,-1.58951,-1.841809
1977-10-31,,,-1.573193,-1.826746
1977-11-30,,,-1.521006,-1.604935
1977-12-31,,,-1.487213,-1.531034
1978-01-31,,,-1.502543,-1.507866
1978-02-28,,,-1.4793,-1.472716
1978-03-31,,,-1.374802,-1.425717
1978-04-30,,,-1.160426,-1.272651
1978-05-31,,,-1.216063,-1.29328
1978-06-30,,,-1.235281,-1.296347
1978-07-31,,,-1.332616,-1.317221
1978-08-31,,,-1.298949,-1.383804
1978-09-30,,,-1.217668,-1.259989
